 reg0:   reg1:   reg2:   reg3:   zero:    line: bin:          assembler:
[0x0000, 0x0000, 0x0000, 0x0000] z: 0  |  000:  0002 1190  |  move r0 0x9011
[0x9011, 0x0000, 0x0000, 0x0000] z: 0  |  001:  0012 6505  |  move r1 0x0565
[0x9011, 0x0565, 0x0000, 0x0000] z: 0  |  002:  0022 fb01  |  move r2 0x01fb
[0x9011, 0x0565, 0x01fb, 0x0000] z: 0  |  003:  0032 d6bb  |  move r3 0xbbd6
[0x9011, 0x0565, 0x01fb, 0xbbd6] z: 0  |  004:  0222 cc02  |  xor  r2 0x02cc
[0x9011, 0x0565, 0x0337, 0xbbd6] z: 0  |  005:  0523       |  add  r2 r0
[0x9011, 0x0565, 0x9348, 0xbbd6] z: 0  |  006:  05a3       |  add  r2 r2
[0x9011, 0x0565, 0x2690, 0xbbd6] z: 0  |  007:  0273       |  xor  r3 r1
[0x9011, 0x0565, 0x2690, 0xbeb3] z: 0  |  008:  0431       |  neg  r3 
[0x9011, 0x0565, 0x2690, 0x414c] z: 0  |  009:  06d3       |  sub  r1 r3
[0x9011, 0xc419, 0x2690, 0x414c] z: 0  |  010:  0832 0300  |  shl  r3 0x0003
[0x9011, 0xc419, 0x2690, 0x0a60] z: 0  |  011:  00c3       |  move r0 r3
[0x0a60, 0xc419, 0x2690, 0x0a60] z: 0  |  012:  0203       |  xor  r0 r0
[0x0000, 0xc419, 0x2690, 0x0a60] z: 1  |  013:  0202 26eb  |  xor  r0 0xeb26
[0xeb26, 0xc419, 0x2690, 0x0a60] z: 0  |  014:  0032 0a00  |  move r3 0x000a
[0xeb26, 0xc419, 0x2690, 0x000a] z: 0  |  015:  0083       |  move r0 r2
[0x2690, 0xc419, 0x2690, 0x000a] z: 0  |  016:  0283       |  xor  r0 r2
[0x0000, 0xc419, 0x2690, 0x000a] z: 1  |  017:  0793       |  mult r1 r2
[0x0000, 0x0410, 0x2690, 0x000a] z: 0  |  018:  0b31       |  dec  r3 
[0x0000, 0x0410, 0x2690, 0x0009] z: 0  |  019:  0f00 1000  |  jnz  0x0010
[0x0000, 0x0410, 0x2690, 0x0009] z: 0  |  016:  0073       |  move r3 r1
[0x0000, 0x0410, 0x2690, 0x0410] z: 0  |  017:  0722 9b2f  |  mult r2 0x2f9b
[0x0000, 0x0410, 0xc930, 0x0410] z: 0  |  018:  0112 7139  |  or   r1 0x3971
[0x0000, 0x3d71, 0xc930, 0x0410] z: 0  |  019:  0313       |  and  r1 r0
[0x0000, 0x0000, 0xc930, 0x0410] z: 1  |  020:  01b3       |  or   r3 r2
[0x0000, 0x0000, 0xc930, 0xcd30] z: 0  |  021:  0622 77b6  |  sub  r2 0xb677
[0x0000, 0x0000, 0x12b9, 0xcd30] z: 0  |  022:  02b3       |  xor  r3 r2
[0x0000, 0x0000, 0x12b9, 0xdf89] z: 0  |  023:  0022 d0a6  |  move r2 0xa6d0
[0x0000, 0x0000, 0xa6d0, 0xdf89] z: 0  |  024:  00d3       |  move r1 r3
[0x0000, 0xdf89, 0xa6d0, 0xdf89] z: 0  |  025:  0393       |  and  r1 r2
[0x0000, 0x8680, 0xa6d0, 0xdf89] z: 0  |  026:  01d3       |  or   r1 r3
[0x0000, 0xdf89, 0xa6d0, 0xdf89] z: 0  |  027:  0693       |  sub  r1 r2
[0x0000, 0x38b9, 0xa6d0, 0xdf89] z: 0  |  028:  0122 c7bb  |  or   r2 0xbbc7
[0x0000, 0x38b9, 0xbfd7, 0xdf89] z: 0  |  029:  0353       |  and  r1 r1
[0x0000, 0x38b9, 0xbfd7, 0xdf89] z: 0  |  030:  0602 cc39  |  sub  r0 0x39cc
[0xc634, 0x38b9, 0xbfd7, 0xdf89] z: 0  |  031:  0193       |  or   r1 r2
[0xc634, 0xbfff, 0xbfd7, 0xdf89] z: 0  |  032:  0063       |  move r2 r1
[0xc634, 0xbfff, 0xbfff, 0xdf89] z: 0  |  033:  0202 f1b5  |  xor  r0 0xb5f1
[0x73c5, 0xbfff, 0xbfff, 0xdf89] z: 0  |  034:  0532 6710  |  add  r3 0x1067
[0x73c5, 0xbfff, 0xbfff, 0xeff0] z: 0  |  035:  0753       |  mult r1 r1
[0x73c5, 0x8001, 0xbfff, 0xeff0] z: 0  |  036:  0143       |  or   r0 r1
[0xf3c5, 0x8001, 0xbfff, 0xeff0] z: 0  |  037:  0912 0300  |  shr  r1 0x0003
[0xf3c5, 0x1000, 0xbfff, 0xeff0] z: 0  |  038:  02f3       |  xor  r3 r3
[0xf3c5, 0x1000, 0xbfff, 0x0000] z: 1  |  039:  0183       |  or   r0 r2
[0xffff, 0x1000, 0xbfff, 0x0000] z: 0  |  040:  01d3       |  or   r1 r3
[0xffff, 0x1000, 0xbfff, 0x0000] z: 0  |  041:  07d3       |  mult r1 r3
[0xffff, 0x0000, 0xbfff, 0x0000] z: 1  |  042:  0593       |  add  r1 r2
[0xffff, 0xbfff, 0xbfff, 0x0000] z: 0  |  043:  0232 4c00  |  xor  r3 0x004c
[0xffff, 0xbfff, 0xbfff, 0x004c] z: 0  |  044:  0523       |  add  r2 r0
[0xffff, 0xbfff, 0xbffe, 0x004c] z: 0  |  045:  0522 ce43  |  add  r2 0x43ce
[0xffff, 0xbfff, 0x03cc, 0x004c]

reg0=ffff&reg1=bfff&reg2=03cc&reg3=004c
