 reg0:   reg1:   reg2:   reg3:   zero:    line: bin:          assembler:
[0x0000, 0x0000, 0x0000, 0x0000] z: 0  |  000:  0002 0b44  |  move r0 0x440b
[0x440b, 0x0000, 0x0000, 0x0000] z: 0  |  001:  0012 464f  |  move r1 0x4f46
[0x440b, 0x4f46, 0x0000, 0x0000] z: 0  |  002:  0022 f9ca  |  move r2 0xcaf9
[0x440b, 0x4f46, 0xcaf9, 0x0000] z: 0  |  003:  0032 6969  |  move r3 0x6969
[0x440b, 0x4f46, 0xcaf9, 0x6969] z: 0  |  004:  05a3       |  add  r2 r2
[0x440b, 0x4f46, 0x95f2, 0x6969] z: 0  |  005:  01e3       |  or   r2 r3
[0x440b, 0x4f46, 0xfdfb, 0x6969] z: 0  |  006:  0023       |  move r2 r0
[0x440b, 0x4f46, 0x440b, 0x6969] z: 0  |  007:  0312 47fc  |  and  r1 0xfc47
[0x440b, 0x4c46, 0x440b, 0x6969] z: 0  |  008:  0613       |  sub  r1 r0
[0x440b, 0x083b, 0x440b, 0x6969] z: 0  |  009:  0353       |  and  r1 r1
[0x440b, 0x083b, 0x440b, 0x6969] z: 0  |  010:  0733       |  mult r3 r0
[0x440b, 0x083b, 0x440b, 0x6b83] z: 0  |  011:  0332 7f51  |  and  r3 0x517f
[0x440b, 0x083b, 0x440b, 0x4103] z: 0  |  012:  0502 3f1c  |  add  r0 0x1c3f
[0x604a, 0x083b, 0x440b, 0x4103] z: 0  |  013:  0653       |  sub  r1 r1
[0x604a, 0x0000, 0x440b, 0x4103] z: 1  |  014:  0032 0a00  |  move r3 0x000a
[0x604a, 0x0000, 0x440b, 0x000a] z: 0  |  015:  0722 4212  |  mult r2 0x1242
[0x604a, 0x0000, 0x50d6, 0x000a] z: 0  |  016:  0722 a01e  |  mult r2 0x1ea0
[0x604a, 0x0000, 0x99c0, 0x000a] z: 0  |  017:  0802 0400  |  shl  r0 0x0004
[0x04a0, 0x0000, 0x99c0, 0x000a] z: 0  |  018:  0b31       |  dec  r3 
[0x04a0, 0x0000, 0x99c0, 0x0009] z: 0  |  019:  0f00 1000  |  jnz  0x0010
[0x04a0, 0x0000, 0x99c0, 0x0009] z: 0  |  016:  0722 a01e  |  mult r2 0x1ea0
[0x04a0, 0x0000, 0x9800, 0x0009] z: 0  |  017:  0802 0400  |  shl  r0 0x0004
[0x4a00, 0x0000, 0x9800, 0x0009] z: 0  |  018:  0b31       |  dec  r3 
[0x4a00, 0x0000, 0x9800, 0x0008] z: 0  |  019:  0f00 1000  |  jnz  0x0010
[0x4a00, 0x0000, 0x9800, 0x0008] z: 0  |  016:  0722 a01e  |  mult r2 0x1ea0
[0x4a00, 0x0000, 0x0000, 0x0008] z: 1  |  017:  0802 0400  |  shl  r0 0x0004
[0xa000, 0x0000, 0x0000, 0x0008] z: 0  |  018:  0b31       |  dec  r3 
[0xa000, 0x0000, 0x0000, 0x0007] z: 0  |  019:  0f00 1000  |  jnz  0x0010
[0xa000, 0x0000, 0x0000, 0x0007] z: 0  |  016:  0722 a01e  |  mult r2 0x1ea0
[0xa000, 0x0000, 0x0000, 0x0007] z: 1  |  017:  0802 0400  |  shl  r0 0x0004
[0x0000, 0x0000, 0x0000, 0x0007] z: 1  |  018:  0b31       |  dec  r3 
[0x0000, 0x0000, 0x0000, 0x0006] z: 0  |  019:  0f00 1000  |  jnz  0x0010
[0x0000, 0x0000, 0x0000, 0x0006] z: 0  |  016:  0513       |  add  r1 r0
[0x0000, 0x0000, 0x0000, 0x0006] z: 1  |  017:  0002 2975  |  move r0 0x7529
[0x7529, 0x0000, 0x0000, 0x0006] z: 0  |  018:  0522 53bc  |  add  r2 0xbc53
[0x7529, 0x0000, 0xbc53, 0x0006] z: 0  |  019:  01d3       |  or   r1 r3
[0x7529, 0x0006, 0xbc53, 0x0006] z: 0  |  020:  0902 0100  |  shr  r0 0x0001
[0x3a94, 0x0006, 0xbc53, 0x0006] z: 0  |  021:  0421       |  neg  r2 
[0x3a94, 0x0006, 0x43ac, 0x0006] z: 0  |  022:  06d3       |  sub  r1 r3
[0x3a94, 0x0000, 0x43ac, 0x0006] z: 1  |  023:  0153       |  or   r1 r1
[0x3a94, 0x0000, 0x43ac, 0x0006] z: 1  |  024:  0013       |  move r1 r0
[0x3a94, 0x3a94, 0x43ac, 0x0006] z: 0  |  025:  01e3       |  or   r2 r3
[0x3a94, 0x3a94, 0x43ae, 0x0006] z: 0  |  026:  0253       |  xor  r1 r1
[0x3a94, 0x0000, 0x43ae, 0x0006] z: 1  |  027:  0622 484c  |  sub  r2 0x4c48
[0x3a94, 0x0000, 0xf766, 0x0006] z: 0  |  028:  0802 0100  |  shl  r0 0x0001
[0x7528, 0x0000, 0xf766, 0x0006] z: 0  |  029:  0223       |  xor  r2 r0
